"state","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","county"
"Louisiana",9000,0.4401,0.4529,0.0904,0.0166,1996,"franklin"
"Louisiana",7292,0.4275,0.4087,0.1447,0.0192,1996,"grant"
"Louisiana",29965,0.4009,0.5035,0.0817,0.0139,1996,"iberia"
"Louisiana",14879,0.2709,0.642,0.0723,0.0147,1996,"iberville"
"Louisiana",7067,0.4288,0.4766,0.0808,0.0139,1996,"jackson"
"Louisiana",184466,0.5032,0.4359,0.0524,0.0085,1996,"jefferson"
"Louisiana",12943,0.3331,0.5329,0.1192,0.0148,1996,"jefferson davis"
"Louisiana",6506,0.4496,0.3909,0.1456,0.014,1996,"la salle"
"Louisiana",74468,0.4891,0.4365,0.0622,0.0123,1996,"lafayette"
"Louisiana",34596,0.3499,0.5437,0.0863,0.0201,1996,"lafourche"
"Louisiana",15855,0.4398,0.4985,0.048,0.0137,1996,"lincoln"
"Louisiana",34095,0.4739,0.3894,0.1217,0.015,1996,"livingston"
"Louisiana",5065,0.3141,0.6091,0.0622,0.0146,1996,"madison"
"Louisiana",12493,0.4157,0.4931,0.0771,0.0142,1996,"morehouse"
"Louisiana",15170,0.3606,0.5469,0.0694,0.0231,1996,"natchitoches"
"Louisiana",189911,0.2084,0.762,0.02,0.0095,1996,"orleans"
"Louisiana",57594,0.4959,0.4258,0.0623,0.016,1996,"ouachita"
"Louisiana",10797,0.4161,0.4953,0.0793,0.0093,1996,"plaquemines"
"Louisiana",11332,0.3128,0.6032,0.0746,0.0094,1996,"pointe coupee"
"Louisiana",49931,0.4316,0.4607,0.0935,0.0142,1996,"rapides"
"Louisiana",4296,0.3128,0.6148,0.0624,0.01,1996,"red river"
"Louisiana",8710,0.4323,0.4757,0.0741,0.018,1996,"richland"
"Louisiana",9007,0.3934,0.4733,0.1158,0.0175,1996,"sabine"
"Louisiana",30892,0.4386,0.4633,0.0862,0.0119,1996,"st. bernard"
"Louisiana",21393,0.4355,0.4961,0.0611,0.0074,1996,"st. charles"
"Louisiana",5608,0.2595,0.6583,0.0744,0.0078,1996,"st. helena"
"Louisiana",10743,0.2636,0.6746,0.0566,0.0052,1996,"st. james"
"Louisiana",17051,0.3534,0.5828,0.0567,0.0072,1996,"st. john the baptist"
"Louisiana",35453,0.3462,0.5821,0.0652,0.0066,1996,"st. landry"
"Louisiana",20736,0.3036,0.6024,0.0775,0.0164,1996,"st. martin"
"Louisiana",22569,0.3553,0.5495,0.082,0.0132,1996,"st. mary"
"Louisiana",74526,0.6006,0.3258,0.0636,0.01,1996,"st. tammany"
"Louisiana",37591,0.4128,0.4953,0.0836,0.0083,1996,"tangipahoa"
"Louisiana",3099,0.3227,0.6073,0.0568,0.0132,1996,"tensas"
"Louisiana",36361,0.3835,0.5102,0.0924,0.014,1996,"terrebonne"
"Louisiana",9543,0.463,0.4464,0.0729,0.0177,1996,"union"
"Louisiana",22661,0.3377,0.5564,0.0862,0.0196,1996,"vermilion"
"Louisiana",13966,0.3902,0.4436,0.1481,0.0182,1996,"vernon"
"Louisiana",18023,0.3685,0.5328,0.0912,0.0075,1996,"washington"
"Louisiana",17517,0.3513,0.5531,0.0756,0.0201,1996,"webster"
"Louisiana",9798,0.3321,0.5814,0.0815,0.0049,1996,"west baton rouge"
"Louisiana",4764,0.4966,0.389,0.0968,0.0176,1996,"west carroll"
"Louisiana",4506,0.3586,0.5362,0.0861,0.0191,1996,"west feliciana"
"Louisiana",7463,0.3756,0.5064,0.0985,0.0196,1996,"winn"
"Louisiana",24568,0.367,0.4997,0.128,0.0053,1992,"acadia"
"Louisiana",10017,0.3064,0.5616,0.1243,0.0077,1992,"allen"
"Louisiana",27748,0.3703,0.4698,0.1548,0.0051,1992,"ascension"
"Louisiana",10453,0.2801,0.5395,0.1299,0.0505,1992,"assumption"
"Louisiana",16549,0.2931,0.5255,0.1293,0.0521,1992,"avoyelles"
"Louisiana",12551,0.4079,0.4013,0.1676,0.0233,1992,"beauregard"
"Louisiana",7432,0.3245,0.5246,0.1119,0.0389,1992,"bienville"
"Louisiana",32801,0.4764,0.3449,0.1483,0.0304,1992,"bossier"
"Louisiana",102678,0.4155,0.4649,0.1152,0.0044,1992,"caddo"
"Louisiana",69862,0.3557,0.4805,0.1572,0.0067,1992,"calcasieu"
"Louisiana",4684,0.374,0.44,0.1394,0.0465,1992,"caldwell"
"Louisiana",4338,0.3064,0.4576,0.2294,0.0067,1992,"cameron"
"Louisiana",5471,0.3612,0.4697,0.1413,0.0278,1992,"catahoula"
"Louisiana",6996,0.3715,0.4664,0.1324,0.0297,1992,"claiborne"
"Louisiana",9148,0.3523,0.4682,0.144,0.0355,1992,"concordia"
"Louisiana",11021,0.3306,0.5146,0.1232,0.0317,1992,"de soto"
"Louisiana",166691,0.4864,0.4117,0.0966,0.0054,1992,"east baton rouge"
"Louisiana",3375,0.3384,0.5437,0.0839,0.0341,1992,"east carroll"
"Louisiana",7895,0.3563,0.5184,0.118,0.0072,1992,"east feliciana"
"Louisiana",16376,0.3143,0.523,0.1297,0.033,1992,"evangeline"
"Louisiana",9653,0.4029,0.4275,0.1358,0.0338,1992,"franklin"
"Louisiana",7878,0.408,0.3963,0.149,0.0467,1992,"grant"
"Louisiana",30530,0.3899,0.4271,0.1421,0.0409,1992,"iberia"
"Louisiana",15594,0.3342,0.527,0.0989,0.0399,1992,"iberville"
"Louisiana",7566,0.406,0.4454,0.1166,0.032,1992,"jackson"
"Louisiana",187038,0.5373,0.3438,0.1138,0.0052,1992,"jefferson"
"Louisiana",13838,0.3261,0.5074,0.1605,0.0059,1992,"jefferson davis"
"Louisiana",6723,0.4563,0.3553,0.1477,0.0406,1992,"la salle"
"Louisiana",71762,0.4516,0.3983,0.1271,0.023,1992,"lafayette"
"Louisiana",35645,0.3575,0.454,0.1424,0.0461,1992,"lafourche"
"Louisiana",16561,0.436,0.4351,0.1057,0.0232,1992,"lincoln"
"Louisiana",31421,0.4713,0.366,0.1582,0.0046,1992,"livingston"
"Louisiana",5106,0.3333,0.5431,0.0919,0.0317,1992,"madison"
"Louisiana",13463,0.3984,0.4466,0.1283,0.0267,1992,"morehouse"
"Louisiana",14779,0.3853,0.4719,0.1087,0.0342,1992,"natchitoches"
"Louisiana",197349,0.2636,0.6753,0.0552,0.006,1992,"orleans"
"Louisiana",56502,0.4885,0.3687,0.117,0.0258,1992,"ouachita"
"Louisiana",11257,0.4458,0.3968,0.1536,0.0038,1992,"plaquemines"
"Louisiana",11322,0.3147,0.5752,0.1022,0.0079,1992,"pointe coupee"
"Louisiana",51882,0.4391,0.4023,0.1272,0.0314,1992,"rapides"
